Team,Player,Position,On_start,Points_Average,Last_5_games_points,J_4,J_3,J_2,J_1,J_Actual,Avg_last_5_games,Value,Squad_Average_Points,J_4_Squad_Points,J_3_Squad_Points,J_2_Squad_Points,J_1_Squad_Points,J_Actual_Squad_Points,Squad_Avg_last_5_Games,Value_Squad,vs,Vs_Team,Vs_Squad_Average_Points,J_4_Vs_Squad_Points,J_3_Vs_Squad_Points,J_2_Vs_Squad_Points,J_1_Vs_Squad_Points,J_Actual_Vs_Squad_Points,Vs_Squad_Avg_last_5_Games,Vs_Value_Squad,Team_clas,Vs_Team_clas
Real Madrid,Courtois,PT,97,5.2,"['0', '3', '2', '12', '-']",0,3,2,12,0,3.4,6020000,133.9,79,89,86,108,54,83.2,154210000,Levante,Levante,95.7,88,54,85,68,76,74.2,41810000,1,19
Sevilla,Bono,PT,83,5.4,"['0', '4', '-', '2', '8']",0,4,0,2,8,2.8,4710000,120.39999999999999,46,81,52,61,58,59.6,107370000,Mallorca,Mallorca,87.9,39,62,52,47,46,49.2,40990000,3,18
Rayo Vallecano,Balliu,DF,91,3.6,"['-4', '-', '4', '-', '5']",-4,0,4,0,5,1.0,2310000,85.1,44,68,69,52,72,61.0,56160000,Villarreal,Villarreal,118.2,86,82,47,63,67,69.0,112160000,12,7
Rayo Vallecano,Fran García,DF,91,3.9,"['4', '5', '3', '4', '6']",4,5,3,4,6,4.4,2930000,85.1,44,68,69,52,72,61.0,56160000,Villarreal,Villarreal,118.2,86,82,47,63,67,69.0,112160000,12,7
Mallorca,Maffeo,DF,91,4.1,"['2', '5', '0', '0', '3']",2,5,0,0,3,2.0,2860000,87.9,39,62,52,47,46,49.2,40990000,Sevilla,Sevilla,120.39999999999999,46,81,52,61,58,59.6,107370000,18,3
Barcelona,Ronald Araujo,DF,66,5.9,"['-', '4', '8', '5', '9']",0,4,8,5,9,5.2,8560000,153.1,64,78,70,79,80,74.2,200640000,Celta Vigo,Celta Vigo,77.2,78,43,81,57,109,73.6,65770000,2,11
Valencia,Omar Alderete,DF,74,4.4,"['-', '-', '4', '5', '5']",0,0,4,5,5,2.8,2970000,88.9,56,40,51,50,49,49.2,70040000,Betis,Betis,116.9,68,60,104,67,47,69.2,90300000,10,5
Osasuna,Manu Sánchez,DF,69,3.4,"['2', '3', '4', '3', '3']",2,3,4,3,3,3.0,1640000,81.2,41,57,42,63,69,54.4,55330000,Getafe,Getafe,80.9,47,65,76,63,66,63.4,52030000,9,15
Barcelona,Gavi,MD,71,4.4,"['5', '3', '6', '6', '1']",5,3,6,6,1,4.2,8880000,153.1,64,78,70,79,80,74.2,200640000,Celta Vigo,Celta Vigo,77.2,78,43,81,57,109,73.6,65770000,2,11
Celta Vigo,Brais Méndez,MD,94,4.4,"['8', '2', '4', '2', '0']",8,2,4,2,0,3.2,4770000,77.2,78,43,81,57,109,73.6,65770000,Barcelona,Barcelona,153.1,64,78,70,79,80,74.2,200640000,11,2
Sevilla,Papu Gómez,MD,49,4.7,"['2', '4', '4', '2', '5']",2,4,4,2,5,3.4,5170000,120.39999999999999,46,81,52,61,58,59.6,107370000,Mallorca,Mallorca,87.9,39,62,52,47,46,49.2,40990000,3,18
Mallorca,Dani Rodríguez,MD,94,3.9,"['2', '5', '4', '2', '0']",2,5,4,2,0,2.6,3590000,87.9,39,62,52,47,46,49.2,40990000,Sevilla,Sevilla,120.39999999999999,46,81,52,61,58,59.6,107370000,18,3
Elche,Pere Milla,MD,43,4.2,"['2', '2', '2', '9', '3']",2,2,2,9,3,3.6,4210000,82.8,79,67,60,55,32,58.6,37900000,Atlético Madrid,Atlético Madrid,95.0,57,73,57,45,73,61.0,118210000,14,4
Celta Vigo,Franco Cervi,MD,57,4.4,"['5', '2', '7', '6', '12']",5,2,7,6,12,6.4,3530000,77.2,78,43,81,57,109,73.6,65770000,Barcelona,Barcelona,153.1,64,78,70,79,80,74.2,200640000,11,2
Athletic Club,Álex Berenguer,MD,63,4.0,"['4', '-', '-', '2', '4']",4,0,0,2,4,2.0,4400000,90.8,46,63,43,74,61,57.4,68010000,Granada,Granada,90.4,44,65,44,69,92,62.8,48350000,8,17
Real Madrid,Vinícius Júnior,DL,80,7.3,"['1', '-', '3', '5', '5']",1,0,3,5,5,2.8,17660000,133.9,79,89,86,108,54,83.2,154210000,Levante,Levante,95.7,88,54,85,68,76,74.2,41810000,1,19
Barcelona,Aubameyang,DL,29,6.7,"['1', '8', '2', '2', '1']",1,8,2,2,1,2.8,24980000,153.1,64,78,70,79,80,74.2,200640000,Celta Vigo,Celta Vigo,77.2,78,43,81,57,109,73.6,65770000,2,11
Levante,Morales,DL,80,5.2,"['16', '11', '1', '10', '3']",16,11,1,10,3,8.2,7530000,95.7,88,54,85,68,76,74.2,41810000,Real Madrid,Real Madrid,133.9,79,89,86,108,54,83.2,154210000,19,1
